,회사명,상장번호
0,AJ네트웍스,095570
1,AK홀딩스,006840
2,BGF,027410
3,BGF리테일,282330
4,BNK금융지주,138930
5,BYC,001460
6,BYC우,001465
7,CJ,001040
8,CJ CGV,079160
9,CJ4우(전환),00104K
10,CJ대한통운,000120
11,CJ씨푸드,011150
12,CJ씨푸드1우,011155
13,CJ우,001045
14,CJ제일제당,097950
15,CJ제일제당 우,097955
16,CS홀딩스,000590
17,DB,012030
18,DB금융투자,016610
19,DB손해보험,005830
20,DB하이텍,000990
21,DB하이텍1우,000995
22,DGB금융지주,139130
23,DI동일,001530
24,DL,000210
25,DL건설,001880
26,DL우,000215
27,DL이앤씨,375500
28,DL이앤씨2우(전환),37550L
29,DL이앤씨우,37550K
30,DN오토모티브,007340
31,DRB동일,004840
32,DSR,155660
33,DSR제강,069730
34,E1,017940
35,ESR켄달스퀘어리츠,365550
36,F&F,383220
37,F&F홀딩스,007700
38,GKL,114090
39,GS,078930
40,GS건설,006360
41,GS글로벌,001250
42,GS리테일,007070
43,GS우,078935
44,HDC,012630
45,HDC랩스,039570
46,HDC현대EP,089470
47,HDC현대산업개발,294870
48,HD현대,267250
49,HJ중공업,097230
50,HL D&I,014790
51,HLB글로벌,003580
52,HL만도,204320
53,HL홀딩스,060980
54,HMM,011200
55,HSD엔진,082740
56,IHQ,003560
57,JB금융지주,175330
58,JW생명과학,234080
59,JW중외제약,001060
60,JW중외제약2우B,001067
61,JW중외제약우,001065
62,JW홀딩스,096760
63,KB금융,105560
64,KB스타리츠,432320
65,KCC,002380
66,KCC글라스,344820
67,KCTC,009070
68,KC그린홀딩스,009440
69,KC코트렐,119650
70,KEC,092220
71,KG스틸,016380
72,KG케미칼,001390
73,KH 필룩스,033180
74,KISCO홀딩스,001940
75,KPX케미칼,025000
76,KPX홀딩스,092230
77,KR모터스,000040
78,KSS해운,044450
79,KT,030200
80,KT&G,033780
81,KTcs,058850
82,KTis,058860
83,LF,093050
84,LG,003550
85,LG디스플레이,034220
86,LG생활건강,051900
87,LG생활건강우,051905
88,LG에너지솔루션,373220
89,LG우,003555
90,LG유플러스,032640
91,LG이노텍,011070
92,LG전자,066570
93,LG전자우,066575
94,LG헬로비전,037560
95,LG화학,051910
96,LG화학우,051915
97,LIG넥스원,079550
